Timeline ,,latitude,longitude,,,Angle X
,,,,,,
14:17:05,,30.36059869,77.84051645,,,1.64
14:17:06,,30.36058342,77.84050863,,,-0.45
14:17:07,,30.36056424,77.84049282,,,-0.37
14:17:08,,30.36054705,77.84048102,,,1.02
14:17:09,,30.36053939,77.84046501,,,-1.56
14:17:10,,30.3605209,77.84044925,,,1.28
14:17:11,,30.36050881,77.84043538,,,0.23
14:17:12,,30.36049928,77.84041537,,,0.65
14:17:13,,30.36048528,77.8403975,,,0.89
14:17:14,,30.36047891,77.84039564,,,-1.35
14:17:15,,30.36046162,77.84035962,,,1.81
14:17:16,,30.36044487,77.84034793,,,-0.09
14:17:17,,30.36043253,77.84033409,,,-0.54
14:17:18,,30.36041382,77.84031844,,,0.12
14:17:19,,30.36039514,77.8403028,,,-1.69
14:17:20,,30.36038284,77.840289,,,0.61
14:17:21,,30.36036415,77.8402734,,,-1.78
14:17:22,,30.36034744,77.84026181,,,-0.71
14:17:23,,30.36033511,77.84024804,,,0.36
14:17:24,,30.36031209,77.84023468,,,-0.99
14:17:25,,30.36029979,77.84022094,,,-1.12
14:17:26,,30.3602875,77.84020721,,,0.32
14:17:27,,30.36027956,77.84019127,,,-1.62
14:17:28,,30.36025662,77.840178,,,0.27
14:17:29,,30.36025265,77.84017004,,,0.96
14:17:30,,30.3602321,77.8401506,,,-0.89
14:17:31,,30.36021157,77.84013118,,,1.79
14:17:32,,30.36019302,77.84011577,,,-1.13
14:17:33,,30.36017878,77.84009814,,,-1.15
14:17:34,,30.36016653,77.84008449,,,0.72
14:17:35,,30.36015,77.8400731,,,1.03
14:17:36,,30.36013777,77.84005947,,,-0.5
14:17:37,,30.36012128,77.84004811,,,1.03
14:17:38,,30.36010481,77.84003676,,,0.94
14:17:39,,30.36008836,77.84002542,,,1.9
14:17:40,,30.36007598,77.84001186,,,-0.15
14:17:41,,30.36005937,77.84000058,,,-0.12
14:17:42,,30.36004697,77.83998705,,,-1.71
14:17:43,,30.3600283,77.83997187,,,1.16
14:17:44,,30.36001994,77.83995612,,,-1.47
14:17:45,,30.36000733,77.83994266,,,-1.94
14:17:46,,30.35999682,77.83993315,,,0.13
14:17:47,,30.35998214,77.83991578,,,-0.02
14:17:48,,30.3599738,77.83990006,,,1.62
14:17:49,,30.35996332,77.83989057,,,-1.03
14:17:50,,30.35994867,77.83987324,,,-0.44
14:17:51,,30.35993612,77.83985985,,,-0.08
14:17:52,,30.35992773,77.83984417,,,-0.29
14:17:53,,30.35991506,77.83983083,,,1.99
14:17:54,,30.35990241,77.8398175,,,-1.43
14:17:55,,30.35989183,77.83979794,,,-1.47
14:17:56,,30.35987503,77.83978697,,,0.16
14:17:57,,30.35986241,77.83977368,,,0.29
14:17:58,,30.35984984,77.8397604,,,1.11
14:17:59,,30.35983729,77.83974713,,,0.19
14:18:00,,30.35982475,77.83973387,,,0.11
14:18:01,,30.35981222,77.83972062,,,-0.17
14:18:02,,30.3597976,77.8397035,,,0.43
14:18:03,,30.3597892,77.83968793,,,-0.12
14:18:04,,30.3597747,77.83968097,,,1.72
14:18:05,,30.35975773,77.83966008,,,1.39
14:18:06,,30.35974506,77.83964695,,,-1.63
14:18:07,,30.35972836,77.8396362,,,-1.21
14:18:08,,30.35971761,77.83961689,,,-0.45
14:18:09,,30.35970687,77.83959758,,,-1.11
14:18:10,,30.35969238,77.83959075,,,0.49
14:18:11,,30.35967962,77.83956758,,,0.65
14:18:12,,30.35966114,77.839553,,,-0.31
14:18:13,,30.35964453,77.83953222,,,1.8
14:18:14,,30.35962821,77.83952155,,,-1.38
14:18:15,,30.35961982,77.83950613,,,-1.66
14:18:16,,30.35960374,77.83949542,,,-0.41
14:18:17,,30.35959164,77.83948233,,,1.01
14:18:18,,30.3595756,77.83947165,,,-0.64
14:18:19,,30.35956354,77.83945858,,,1.63
14:18:20,,30.35955339,77.83943925,,,0.62
14:18:21,,30.35953346,77.83943103,,,-0.26
14:18:22,,30.35952131,77.83940786,,,-1.11
14:18:23,,30.35950337,77.83939339,,,-1.97
14:18:24,,30.35949341,77.83938423,,,-0.82
14:18:25,,30.35948332,77.83936494,,,-1.77
14:18:26,,30.35946357,77.8393568,,,-0.47
14:18:27,,30.35945364,77.83934766,,,0.31
14:18:28,,30.35944172,77.83933468,,,-1.06
14:18:29,,30.35942021,77.83932266,,,1.73
14:18:30,,30.35940653,77.83930577,,,1.36
14:18:31,,30.35939481,77.83929275,,,-0.31
14:18:32,,30.35937921,77.8392822,,,-1.77
14:18:33,,30.3593714,77.83926674,,,-1.94
14:18:34,,30.35935387,77.83925235,,,1.36
14:18:35,,30.35934219,77.83923937,,,0.26
14:18:36,,30.35932858,77.83923274,,,0.33
14:18:37,,30.35931494,77.83921594,,,-0.18
14:18:38,,30.35929941,77.83920548,,,1.06
14:18:39,,30.3592839,77.83919503,,,1.95
14:18:40,,30.35926841,77.8391846,,,0.27
14:18:41,,30.35925295,77.83917418,,,-0.72
14:18:42,,30.35924134,77.83916128,,,-2.87
14:18:43,,30.3592202,77.83914951,,,3.82
14:18:44,,30.35920485,77.83913911,,,-1.59
14:18:45,,30.35918759,77.83912487,,,1.25
14:18:46,,30.35917228,77.83911449,,,-9.44
14:18:47,,30.35916097,77.83910152,,,-8.23
14:18:48,,30.35913344,77.83912512,,,-10.63
14:18:49,,30.35904902,77.83916623,,,0.62
14:18:50,,30.35902937,77.83919544,,,-0.41
14:18:51,,30.35900985,77.83922456,,,2.75
14:18:52,,30.35899048,77.83925358,,,-2.33
14:18:53,,30.3589712,77.83928251,,,-1.27
14:18:54,,30.35895198,77.83931136,,,3.67
14:18:55,,30.35892939,77.83933347,,,-1.06
14:18:56,,30.35890347,77.83934886,,,0.51
14:18:57,,30.35888101,77.83937087,,,2.93
14:18:58,,30.35884847,77.83939006,,,-0.52
14:18:59,,30.35882574,77.83941202,,,3.11
14:19:00,,30.35880313,77.83943393,,,1.31
14:19:01,,30.35878393,77.83946238,,,1.72
14:19:02,,30.35876779,77.83949744,,,-6.45
14:19:03,,30.35875146,77.83953244,,,-2.11
14:19:04,,30.3587416,77.83956359,,,-1.71
14:19:05,,30.35875124,77.83960038,,,0.63
14:19:06,,30.35875747,77.83963055,,,4.36
14:19:07,,30.35876403,77.83966065,,,5.99
14:19:08,,30.35876427,77.83969439,,,1.09
14:19:09,,30.35874782,77.83972894,,,-2.13
14:19:10,,30.35872481,77.83976707,,,3.59
14:19:11,,30.35870511,77.83979485,,,-0.32
14:19:12,,30.35868212,77.83981602,,,1.93
14:19:13,,30.35867248,77.83984651,,,2.32
14:19:14,,30.35865588,77.83988059,,,0.68
14:19:15,,30.35863602,77.83990806,,,-2.64
14:19:16,,30.35862605,77.83993835,,,1.35
14:19:17,,30.35861285,77.83996207,,,3.15
14:19:18,,30.35859639,77.83999577,,,-1.47
14:19:19,,30.35858011,77.84002935,,,2.45
14:19:20,,30.35857733,77.84005576,,,0.21
14:19:21,,30.35856168,77.84008914,,,-0.96
14:19:22,,30.35854272,77.84011599,,,1.41
14:19:23,,30.35853023,77.84013928,,,3.7
14:19:24,,30.35851477,77.8401724,,,-0.11
14:19:25,,30.35849601,77.84019902,,,-2.56
14:19:26,,30.35847771,77.84022555,,,3.29
14:19:27,,30.35846288,77.8402584,,,0.14
14:19:28,,30.35844471,77.84028479,,,1.58
14:19:29,,30.35842659,77.8403111,,,2.78
14:19:30,,30.35841188,77.84034371,,,1.68
14:19:31,,30.35839387,77.84036987,,,0.37
14:19:32,,30.3583759,77.84039597,,,0.65
14:19:33,,30.35835465,77.84041565,,,3.49
14:19:34,,30.35834291,77.8404383,,,-2.91
14:19:35,,30.35832841,77.84047054,,,1.33
14:19:36,,30.35830804,77.84050599,,,-0.17
14:19:37,,30.35829367,77.84053805,,,2.72
14:19:38,,30.35827579,77.8405637,,,-1.71
14:19:39,,30.35825479,77.840583,,,3.97
14:19:40,,30.35823702,77.84060852,,,0.38
14:19:41,,30.35821646,77.84064345,,,1.84
14:19:42,,30.3581988,77.84066881,,,-2.22
14:19:43,,30.35817205,77.84069104,,,3.14
14:19:44,,30.3581545,77.84071625,,,0.06
14:19:45,,30.35814277,77.84073821,,,-1.54
14:19:46,,30.35812504,77.84076326,,,1.5
14:19:47,,30.35811334,77.8407851,,,3.92
14:19:48,,30.35810764,77.84080378,,,0.87
14:19:49,,30.35809332,77.84085032,,,0.13
14:19:50,,30.35807886,77.84088126,,,-2.61
14:19:51,,30.3580796,77.84091217,,,1.32
14:19:52,,30.35806812,77.84093375,,,-0.83
14:19:53,,30.35805981,77.84096145,,,0.56
14:19:54,,30.35805162,77.84098912,,,-1.91
14:19:55,,30.35804077,77.84102594,,,0.75
14:19:56,,30.35802681,77.8410565,,,-0.27
14:19:57,,30.35802774,77.84108713,,,-1.14
14:19:58,,30.35801085,77.84111145,,,0.42
14:19:59,,30.3579819,77.84112643,,,-0.05
14:20:00,,30.35796509,77.84115064,,,1.09
14:20:01,,30.35793928,77.84117157,,,-0.68
14:20:02,,30.35791897,77.8411894,,,1.18
14:20:03,,30.35790192,77.84121328,,,-1.75
14:20:04,,30.35788179,77.84123101,,,0.93
14:20:05,,30.35786173,77.8412487,,,-1.29
14:20:06,,30.35784489,77.84127243,,,0.61
14:20:07,,30.35782494,77.84129001,,,-0.4
14:20:08,,30.35781135,77.84131968,,,1.87
14:20:09,,30.35780354,77.84134642,,,-0.16
14:20:10,,30.35780463,77.84137635,,,-1.62
14:20:11,,30.35780832,77.84139735,,,0.28
14:20:12,,30.35781255,77.84143326,,,-1.46
14:20:13,,30.3578079,77.84146588,,,0.8
14:20:14,,30.35779699,77.84148634,,,-0.9
14:20:15,,30.35778352,77.84151556,,,1.54
14:20:16,,30.35776989,77.84154462,,,-1.07
14:20:17,,30.35775307,77.84156753,,,0.37
14:20:18,,30.35773007,77.84157836,,,5.58
14:20:19,,30.35770715,77.84158916,,,7.68
14:20:20,,30.3576786,77.84160261,,,9.33
14:20:21,,30.35765015,77.84161602,,,4.21
14:20:22,,30.35762184,77.84162939,,,1.09
